IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.222.249.190,8443,8443,true,SIN,Asia Pacific,Singapore,65,3.11
47.237.82.15,2053,2053,true,SIN,Asia Pacific,Singapore,54,3.11
8.217.207.60,8443,8443,true,HKG,Asia Pacific,Hong Kong,66,3.10
47.236.10.100,8443,8443,true,SIN,Asia Pacific,Singapore,59,3.10
8.218.53.110,2083,2083,true,HKG,Asia Pacific,Hong Kong,74,3.09
47.245.86.230,2096,2096,true,SIN,Asia Pacific,Singapore,37,3.09
47.242.17.250,2053,2053,true,HKG,Asia Pacific,Hong Kong,46,3.08
47.236.93.176,2083,2083,true,SIN,Asia Pacific,Singapore,98,3.07
47.90.141.204,443,443,true,LAX,North America,Los Angeles,236,3.07
47.76.32.108,2096,2096,true,HKG,Asia Pacific,Hong Kong,66,3.07
47.236.87.246,8443,8443,true,SIN,Asia Pacific,Singapore,118,3.07
47.236.93.176,2096,2096,true,SIN,Asia Pacific,Singapore,135,3.06
47.236.87.246,2087,2087,true,SIN,Asia Pacific,Singapore,66,3.05
8.222.193.65,2083,2083,true,SIN,Asia Pacific,Singapore,38,3.05
47.245.118.70,8443,8443,true,SIN,Asia Pacific,Singapore,42,3.04
47.245.86.230,2083,2083,true,SIN,Asia Pacific,Singapore,46,3.03
8.219.210.64,2083,2083,true,SIN,Asia Pacific,Singapore,74,3.03
47.236.5.223,2096,2096,true,SIN,Asia Pacific,Singapore,64,3.01
47.237.10.1,8443,8443,true,SIN,Asia Pacific,Singapore,49,3.01
47.236.232.148,2053,2053,true,SIN,Asia Pacific,Singapore,60,3.01
47.245.102.52,2087,2087,true,SIN,Asia Pacific,Singapore,43,2.99
47.245.114.163,2096,2096,true,SIN,Asia Pacific,Singapore,35,2.96
47.236.144.48,2096,2096,true,SIN,Asia Pacific,Singapore,116,2.96
47.236.254.120,2096,2096,true,SIN,Asia Pacific,Singapore,28,2.96
47.236.253.41,2096,2096,true,SIN,Asia Pacific,Singapore,74,2.95
47.242.54.157,2096,2096,true,HKG,Asia Pacific,Hong Kong,608,2.94
8.218.207.169,2087,2087,true,HKG,Asia Pacific,Hong Kong,75,2.94
47.243.27.217,2096,2096,true,HKG,Asia Pacific,Hong Kong,80,2.93
8.210.245.224,443,443,true,HKG,Asia Pacific,Hong Kong,44,2.93
8.222.164.209,2087,2087,true,SIN,Asia Pacific,Singapore,138,2.93
8.218.3.12,2053,2053,true,HKG,Asia Pacific,Hong Kong,93,2.93
8.218.211.17,2083,2083,true,HKG,Asia Pacific,Hong Kong,128,2.92
47.236.17.193,2083,2083,true,SIN,Asia Pacific,Singapore,61,2.92
47.236.83.239,2096,2096,true,SIN,Asia Pacific,Singapore,86,2.92
47.243.107.148,2083,2083,true,HKG,Asia Pacific,Hong Kong,78,2.90
8.218.3.12,2087,2087,true,HKG,Asia Pacific,Hong Kong,88,2.89
47.236.87.246,2083,2083,true,SIN,Asia Pacific,Singapore,108,2.87
47.236.253.41,2087,2087,true,SIN,Asia Pacific,Singapore,50,2.85
8.218.65.237,8443,8443,true,HKG,Asia Pacific,Hong Kong,54,2.85
47.254.150.69,443,443,true,FRA,Europe,Frankfurt,289,2.83
47.236.10.100,2096,2096,true,SIN,Asia Pacific,Singapore,121,2.83
47.245.105.224,2083,2083,true,SIN,Asia Pacific,Singapore,119,2.82
8.218.122.55,2087,2087,true,HKG,Asia Pacific,Hong Kong,45,2.79
47.236.80.110,2096,2096,true,SIN,Asia Pacific,Singapore,79,2.79
47.236.17.193,2053,2053,true,SIN,Asia Pacific,Singapore,77,2.79
47.236.75.113,8443,8443,true,SIN,Asia Pacific,Singapore,53,2.77
47.245.118.70,2096,2096,true,SIN,Asia Pacific,Singapore,99,2.76
47.237.95.140,2083,2083,true,SIN,Asia Pacific,Singapore,61,2.76
47.237.10.1,2096,2096,true,SIN,Asia Pacific,Singapore,63,2.74
47.236.232.148,2096,2096,true,SIN,Asia Pacific,Singapore,54,2.73
8.217.221.165,2053,2053,true,HKG,Asia Pacific,Hong Kong,108,2.73
8.218.65.237,8443,8443,true,HKG,Asia Pacific,Hong Kong,81,2.72
47.237.11.182,2087,2087,true,SIN,Asia Pacific,Singapore,61,2.72
47.236.9.152,2096,2096,true,SIN,Asia Pacific,Singapore,78,2.72
8.219.50.180,2087,2087,true,SIN,Asia Pacific,Singapore,220,2.71
47.245.84.124,8443,8443,true,SIN,Asia Pacific,Singapore,48,2.71
8.218.52.115,8443,8443,true,HKG,Asia Pacific,Hong Kong,72,2.71
8.218.3.12,2087,2087,true,HKG,Asia Pacific,Hong Kong,91,2.70
8.219.83.201,2096,2096,true,SIN,Asia Pacific,Singapore,73,2.69
47.236.17.193,2083,2083,true,SIN,Asia Pacific,Singapore,110,2.69
8.217.90.154,443,443,true,HKG,Asia Pacific,Hong Kong,73,2.68
47.237.10.1,2053,2053,true,SIN,Asia Pacific,Singapore,57,2.68
47.76.37.57,2087,2087,true,HKG,Asia Pacific,Hong Kong,70,2.67
47.236.232.148,8443,8443,true,SIN,Asia Pacific,Singapore,50,2.66
8.219.153.237,2083,2083,true,NRT,Asia Pacific,Tokyo,236,2.66
47.76.178.146,2053,2053,true,HKG,Asia Pacific,Hong Kong,46,2.64
47.236.237.90,2083,2083,true,SIN,Asia Pacific,Singapore,70,2.60
8.218.2.181,2096,2096,true,HKG,Asia Pacific,Hong Kong,67,2.60
8.210.192.93,2096,2096,true,HKG,Asia Pacific,Hong Kong,37,2.59
47.237.10.1,2083,2083,true,SIN,Asia Pacific,Singapore,66,2.58
47.236.80.110,8443,8443,true,SIN,Asia Pacific,Singapore,45,2.57
47.237.94.140,2083,2083,true,SIN,Asia Pacific,Singapore,74,2.55
47.243.139.85,2053,2053,true,HKG,Asia Pacific,Hong Kong,48,2.53
47.237.82.15,2096,2096,true,SIN,Asia Pacific,Singapore,59,2.52
47.236.232.148,2087,2087,true,SIN,Asia Pacific,Singapore,31,2.52
8.218.201.73,2083,2083,true,HKG,Asia Pacific,Hong Kong,88,2.51
47.245.33.33,443,443,true,NRT,Asia Pacific,Tokyo,361,2.50
47.243.206.150,2053,2053,true,HKG,Asia Pacific,Hong Kong,50,2.50
8.222.222.64,8443,8443,true,SIN,Asia Pacific,Singapore,101,2.50
47.251.74.226,443,443,true,LAX,North America,Los Angeles,366,2.49
8.217.49.34,2096,2096,true,HKG,Asia Pacific,Hong Kong,124,2.47
47.236.87.246,2083,2083,true,SIN,Asia Pacific,Singapore,68,2.47
47.76.32.108,2083,2083,true,HKG,Asia Pacific,Hong Kong,69,2.47
47.236.168.17,2083,2083,true,SIN,Asia Pacific,Singapore,170,2.46
47.236.10.100,2083,2083,true,SIN,Asia Pacific,Singapore,148,2.46
47.237.8.82,8443,8443,true,SIN,Asia Pacific,Singapore,42,2.46
8.218.136.25,2083,2083,true,HKG,Asia Pacific,Hong Kong,43,2.46
8.222.215.228,8443,8443,true,SIN,Asia Pacific,Singapore,105,2.46
47.236.145.85,2053,2053,true,SIN,Asia Pacific,Singapore,129,2.44
47.237.82.15,2053,2053,true,SIN,Asia Pacific,Singapore,55,2.43
47.243.203.119,2083,2083,true,HKG,Asia Pacific,Hong Kong,53,2.42
8.219.111.147,2096,2096,true,SIN,Asia Pacific,Singapore,63,2.42
47.236.169.164,2087,2087,true,SIN,Asia Pacific,Singapore,137,2.42
47.236.9.152,2087,2087,true,SIN,Asia Pacific,Singapore,93,2.42
8.218.18.235,2096,2096,true,HKG,Asia Pacific,Hong Kong,71,2.41
47.236.144.48,2083,2083,true,SIN,Asia Pacific,Singapore,171,2.41
8.218.142.253,2096,2096,true,HKG,Asia Pacific,Hong Kong,65,2.41
8.218.146.204,443,443,true,HKG,Asia Pacific,Hong Kong,96,2.41
47.243.27.217,2083,2083,true,HKG,Asia Pacific,Hong Kong,127,2.40
47.237.14.220,2087,2087,true,SIN,Asia Pacific,Singapore,73,2.39
47.237.10.1,2087,2087,true,SIN,Asia Pacific,Singapore,75,2.39
47.236.75.113,2096,2096,true,SIN,Asia Pacific,Singapore,28,2.39
47.238.6.102,2096,2096,true,HKG,Asia Pacific,Hong Kong,83,2.39
